Doodle Jump 2
alex,4348
ael,3406
alex,8932
alex,5098
alex,1041
alex,877
james,3706
henry,1347
ahmad,697
rj,1308
harry,5273
harry,1631
harry,2481
james,2078
alex,1588
alex,1237
alex,1551
alex,2520
alex,4395
alex,1041
alex,9077
alex,2026
alex,1318
alex,3459
alex,1057
alex,1041
alex,3705
alex,1643
alex,2817
alex,842
alex,1041
alex,3516
alex,4791
alex,1237
alex,2263
Ryan,1804
adf,1221
adf,3012
afsd,1902
adf,0
asd,3559
ads,5874
dsa,1892
sdap,947
asd,6560
asd,6078
asd,1237
dsaf,2421
afds,7415
adsf,0
fd,1237
afds,1094
asd,6962
ads,12837
asd,1111
ads,4346
asd,1307
ads,2126
asd,3237
asd,7358
adsf,7550
afd,2949

adf,2828
